2026-02-16 20:47:22 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Thalion Darkblade (Guerrero Nv.3, HP:25, AC:16)
2026-02-16 20:47:22 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Gwendolyn Shadowheart
2026-02-16 20:47:22 | WARNING  | rules                | sanitizar_pj    | Clase no reconocida 'Maga del gremio', usando 'Guerrero' por defecto
2026-02-16 20:47:22 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Gwendolyn Shadowheart, generando aleatorios
2026-02-16 20:47:22 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Gwendolyn Shadowheart (Guerrero Nv.3, HP:19, AC:16)
2026-02-16 20:47:22 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Drago Darkheart
2026-02-16 20:47:22 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Drago Darkheart, generando aleatorios
2026-02-16 20:47:22 | INFO     | rules                | _generar_url_imagen_personaje | Usando estrategia especial de imagen para enano: Drago Darkheart
2026-02-16 20:47:22 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Drago Darkheart (Guerrero Nv.3, HP:25, AC:16)
2026-02-16 20:47:22 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Eolande Moonwhisper
2026-02-16 20:47:22 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Eolande Moonwhisper, generando aleatorios
2026-02-16 20:47:22 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Eolande Moonwhisper (Explorador Nv.3, HP:19, AC:11)
2026-02-16 20:53:24 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Lyra de las Sombras
2026-02-16 20:53:24 | WARNING  | rules                | sanitizar_pj    | Clase no reconocida 'Asesina de sombras', usando 'Guerrero' por defecto
2026-02-16 20:53:24 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Lyra de las Sombras, generando aleatorios
2026-02-16 20:53:24 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Lyra de las Sombras (Guerrero Nv.3, HP:28, AC:16)
2026-02-16 20:53:24 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Grom Stoneheart
2026-02-16 20:53:24 | WARNING  | rules                | sanitizar_pj    | Clase no reconocida 'Herrero de armas', usando 'Guerrero' por defecto
2026-02-16 20:53:24 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Grom Stoneheart, generando aleatorios
2026-02-16 20:53:24 | INFO     | rules                | _generar_url_imagen_personaje | Usando estrategia especial de imagen para enano: Grom Stoneheart
2026-02-16 20:53:24 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Grom Stoneheart (Guerrero Nv.3, HP:28, AC:16)
2026-02-16 20:53:24 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Eira Whisperwind
2026-02-16 20:53:24 | WARNING  | rules                | sanitizar_pj    | Clase no reconocida 'Maga de las runas', usando 'Guerrero' por defecto
2026-02-16 20:53:24 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Eira Whisperwind, generando aleatorios
2026-02-16 20:53:24 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Eira Whisperwind (Guerrero Nv.3, HP:19, AC:16)
2026-02-16 20:53:24 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Kael'thas Nightstalker
2026-02-16 20:53:24 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Kael'thas Nightstalker, generando aleatorios
2026-02-16 20:53:24 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Kael'thas Nightstalker (Explorador Nv.3, HP:19, AC:13)
2026-02-16 21:00:37 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Elara Encantada
