2026-02-18 20:51:50 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session (launcher) — Total: 1
2026-02-18 20:53:22 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-18 20:53:25 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-18 20:53:29 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-18 20:53:33 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-18 20:53:37 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-18 20:53:41 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-18 20:53:43 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-18 20:53:45 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-18 20:53:47 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-18 20:53:49 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-18 20:56:47 | INFO     | websocket            | __init__        | ConnectionManager multi-cliente inicializado
2026-02-18 20:56:50 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session (launcher) — Total: 1
2026-02-18 20:58:08 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-18 20:58:08 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session (dm) — Total: 1
2026-02-18 20:58:46 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-19 16:23:22 | INFO     | websocket            | __init__        | ConnectionManager multi-cliente inicializado
2026-02-19 16:25:09 | INFO     | websocket            | __init__        | ConnectionManager multi-cliente inicializado
2026-02-19 16:26:35 | INFO     | websocket            | __init__        | ConnectionManager multi-cliente inicializado
2026-02-19 16:28:58 | INFO     | websocket            | __init__        | ConnectionManager multi-cliente inicializado
2026-02-19 16:29:00 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session (launcher) — Total: 1
2026-02-19 16:29:47 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-19 16:30:06 | INFO     | websocket            | __init__        | ConnectionManager multi-cliente inicializado
2026-02-19 16:30:08 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session (launcher) — Total: 1
2026-02-19 16:30:38 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-19 16:31:12 | INFO     | websocket            | __init__        | ConnectionManager multi-cliente inicializado
2026-02-19 16:33:51 | INFO     | websocket            | __init__        | ConnectionManager multi-cliente inicializado
2026-02-19 16:36:35 | INFO     | websocket            | __init__        | ConnectionManager multi-cliente inicializado
2026-02-19 16:36:38 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session (launcher) — Total: 1
2026-02-19 16:38:13 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-19 16:38:13 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session (dm) — Total: 1
2026-02-19 16:42:32 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-19 16:46:45 | INFO     | websocket            | __init__        | ConnectionManager multi-cliente inicializado
2026-02-19 16:49:32 | INFO     | websocket            | __init__        | ConnectionManager multi-cliente inicializado
2026-02-19 16:50:12 | INFO     | websocket            | __init__        | ConnectionManager multi-cliente inicializado
2026-02-19 16:51:03 | INFO     | websocket            | __init__        | ConnectionManager multi-cliente inicializado
2026-02-19 16:51:21 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-19 16:51:46 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-19 16:51:54 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-19 16:51:54 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-19 16:52:03 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-19 16:52:15 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-19 16:52:27 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-19 16:52:37 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-19 16:52:50 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-19 16:52:50 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-19 16:52:50 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-19 16:52:50 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-19 16:53:13 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-19 16:53:22 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-19 16:53:22 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-19 16:53:32 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-19 16:53:45 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-19 16:53:54 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-19 16:54:03 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-19 16:54:13 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-19 16:54:13 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-19 16:54:13 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-19 16:54:13 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-19 16:54:35 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-19 16:54:42 | INFO     | websocket            | __init__        | ConnectionManager multi-cliente inicializado
2026-02-19 16:54:44 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
